ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
921810482745028,279851075208094,"Răzvan Biro",2024-11-22,2024-11-22,,"Răzvan Biro","🟡 Duminică votăm @[100044563410651:2048:George Simion] președinte!
CMF 11240014",,,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 200, upper_bound: 299",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.003856},{""age"":""45-54"",""gender"":""male"",""percentage"":0.157065},{""age"":""65+"",""gender"":""male"",""percentage"":0.080687},{""age"":""65+"",""gender"":""female"",""percentage"":0.178215},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000454},{""age"":""55-64"",""gender"":""male"",""percentage"":0.129054},{""age"":""55-64"",""gender"":""female"",""percentage"":0.15939},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00034},{""age"":""45-54"",""gender"":""female"",""percentage"":0.120492},{""age"":""18-24"",""gender"":""male"",""percentage"":0.005897},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000454},{""age"":""35-44"",""gender"":""male"",""percentage"":0.075017},{""age"":""35-44"",""gender"":""female"",""percentage"":0.042924},{""age"":""25-34"",""gender"":""male"",""percentage"":0.032944},{""age"":""25-34"",""gender"":""female"",""percentage"":0.012928},{""age"":""18-24"",""gender"":""unknown"",""percentage"":5.7e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000227}","{""region"":""Mure\u0219 County"",""percentage"":1}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",ro
3801991510054994,391863520682771,"Vasiliu Ionel",2024-11-22,2024-11-22,,"SC VIDEO DANCRYS-STUDIO SRL","🇹🇩George Simion Președinte!🇹🇩
CMF: 31240006
#GeorgeSimion #AUR #Algeri2024 #Președinte #GeorgeSimionPreședinte",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 100, upper_bound: 199",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.00961},{""age"":""45-54"",""gender"":""male"",""percentage"":0.185353},{""age"":""65+"",""gender"":""male"",""percentage"":0.072611},{""age"":""65+"",""gender"":""female"",""percentage"":0.103844},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000623},{""age"":""55-64"",""gender"":""male"",""percentage"":0.142463},{""age"":""55-64"",""gender"":""female"",""percentage"":0.129649},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000356},{""age"":""45-54"",""gender"":""female"",""percentage"":0.098327},{""age"":""18-24"",""gender"":""male"",""percentage"":0.011568},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000534},{""age"":""35-44"",""gender"":""male"",""percentage"":0.119683},{""age"":""35-44"",""gender"":""female"",""percentage"":0.045382},{""age"":""25-34"",""gender"":""unknown"",""percentage"":8.9e-5},{""age"":""25-34"",""gender"":""male"",""percentage"":0.052411},{""age"":""25-34"",""gender"":""female"",""percentage"":0.027051},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000178},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000267}","{""region"":""Suceava County"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",ro
908952204223735,397245833483182,"Virgiliu Gheorghe Vlăescu pentru Senat",2024-11-22,2024-11-22,,"SC VIDEO DANCRYS-STUDIO SRL","🇹🇩George Simion Președinte!🇹🇩
CMF: 31240006
#GeorgeSimion #AUR #Algeri2024 #Președinte #GeorgeSimionPreședinte",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 100, upper_bound: 199",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.003199},{""age"":""45-54"",""gender"":""male"",""percentage"":0.222192},{""age"":""65+"",""gender"":""male"",""percentage"":0.066813},{""age"":""65+"",""gender"":""female"",""percentage"":0.096518},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000457},{""age"":""55-64"",""gender"":""male"",""percentage"":0.169911},{""age"":""55-64"",""gender"":""female"",""percentage"":0.111324},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000274},{""age"":""45-54"",""gender"":""female"",""percentage"":0.078146},{""age"":""18-24"",""gender"":""male"",""percentage"":0.009323},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000274},{""age"":""35-44"",""gender"":""male"",""percentage"":0.144777},{""age"":""35-44"",""gender"":""female"",""percentage"":0.031898},{""age"":""25-34"",""gender"":""unknown"",""percentage"":9.1e-5},{""age"":""25-34"",""gender"":""male"",""percentage"":0.053469},{""age"":""25-34"",""gender"":""female"",""percentage"":0.010968},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000274},{""age"":""65+"",""gender"":""unknown"",""percentage"":9.1e-5}","{""region"":""Suceava County"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",ro
451750557962158,450430614819917,"Negrea Petru-Gabriel",2024-11-22,2024-11-22,,"SC VIDEO DANCRYS-STUDIO S.R.L","🇹🇩George Simion Președinte!🇹🇩

CMF: 31240006

#GeorgeSimion #AUR #Algeri2024 #Președinte #GeorgeSimionPreședinte",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 100, upper_bound: 199",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.005462},{""age"":""45-54"",""gender"":""male"",""percentage"":0.211309},{""age"":""65+"",""gender"":""male"",""percentage"":0.04825},{""age"":""65+"",""gender"":""female"",""percentage"":0.054016},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000202},{""age"":""55-64"",""gender"":""male"",""percentage"":0.121788},{""age"":""55-64"",""gender"":""female"",""percentage"":0.067166},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000607},{""age"":""45-54"",""gender"":""female"",""percentage"":0.046227},{""age"":""18-24"",""gender"":""male"",""percentage"":0.026502},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000809},{""age"":""35-44"",""gender"":""male"",""percentage"":0.229112},{""age"":""35-44"",""gender"":""female"",""percentage"":0.031357},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000405},{""age"":""25-34"",""gender"":""male"",""percentage"":0.137265},{""age"":""25-34"",""gender"":""female"",""percentage"":0.019118},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000202},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000202}","{""region"":""Suceava County"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",ro
1136207171352012,104911541560472,"Lucian-Florin Pușcașu",2024-11-22,2024-11-22,,"SC VIDEO DANCRYS-STUDIO SRL","🇹🇩George Simion Președinte!🇹🇩
CMF: 31240006
#GeorgeSimion #AUR #Algeri2024 #Președinte #GeorgeSimionPreședinte",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 100, upper_bound: 199",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.019752},{""age"":""45-54"",""gender"":""male"",""percentage"":0.184026},{""age"":""65+"",""gender"":""male"",""percentage"":0.0449},{""age"":""65+"",""gender"":""female"",""percentage"":0.053967},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000432},{""age"":""55-64"",""gender"":""male"",""percentage"":0.0966},{""age"":""55-64"",""gender"":""female"",""percentage"":0.064436},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00054},{""age"":""45-54"",""gender"":""female"",""percentage"":0.049757},{""age"":""18-24"",""gender"":""male"",""percentage"":0.07469},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000971},{""age"":""35-44"",""gender"":""male"",""percentage"":0.189962},{""age"":""35-44"",""gender"":""female"",""percentage"":0.033243},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000971},{""age"":""25-34"",""gender"":""male"",""percentage"":0.15564},{""age"":""25-34"",""gender"":""female"",""percentage"":0.028818},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001079},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000216}","{""region"":""Suceava County"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",ro
923407932626906,170623543081668,"Adrian Oros",2024-11-22,2024-11-22,,"WEBASSIST CONSULTING SRL","@[100058224364225:2048:Ludovic Orban] - mesaj pentru Nicolae Ciucă. 

Dacă mai aveți o urmă de onoare, de realism și de respect față de românii care cred în valorile liberale, faceți ce este bine pentru România!

Este ceasul al doisprezecelea. Aveți 0 șanse să intrați în turul doi. Cei din jurul dumneavoastră vă mint. Vă prezintă sondaje mistificate. Dacă vă încăpățânați să nu acceptați evidența și rămâneți în cursă, nu veți fi nimic altceva decât un iepure al lui Ciolacu.  Puteți provoca un dezastru pentru democrație, adică un tur doi între Ciolacu și Simion. Ratarea intrării în turul doi va prăbuși partidul la alegerile parlamentare și veți fi alungat cu furci și cu topoare din fruntea partidului chiar de cei care astăzi vă mint cu nerușinare că aveți șanse.

Singurul candidat din bazinul democratic de centru dreapta care are șanse reale să intre în turul doi și să îl învingă pe Ciolacu este @[100057026456960:2048:Elena Lasconi].

Fiți bărbat de stat. Fiți generalul care dă dovadă de inteligența necesară pentru a se alia cu altă forță democratică pentru a câștiga bătălia. Renunțați la candidatură! Susțineți candidatura lui Elena Lasconi!

Puteți negocia construcția unui tandem președinte - premier, cu Elena Lasconi președinte și premier din partea PNL. Puteți rămâne președintele PNL și puteți asigura victoria dreptei democratice atât în alegerile prezidențiale, cât și în alegerile parlamentare.

V-ați tăvălit 3 ani în mocirla alianței cu PSD. Treziți-vă până nu este prea târziu! Abandonați-l pe Iohannis în lada de gunoi a istoriei, unde a intrat singur. Declarați război cu adevărat împotriva PSD! Veniți măcar acum alături de mine și de cei din Forța Dreptei, care nu au acceptat nici măcar o secundă să se predea cleptocraților roșii. Faceți gestul firesc pe care l-am făcut și eu pentru a da o șansă reală României de a porni pe drumul corect!",,,,"lower_bound: 125000, upper_bound: 149999","lower_bound: 1500, upper_bound: 1999",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.015366},{""age"":""45-54"",""gender"":""male"",""percentage"":0.164968},{""age"":""65+"",""gender"":""male"",""percentage"":0.059887},{""age"":""65+"",""gender"":""female"",""percentage"":0.082747},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000377},{""age"":""55-64"",""gender"":""male"",""percentage"":0.115679},{""age"":""55-64"",""gender"":""female"",""percentage"":0.091768},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000684},{""age"":""45-54"",""gender"":""female"",""percentage"":0.06745},{""age"":""18-24"",""gender"":""male"",""percentage"":0.032912},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001011},{""age"":""35-44"",""gender"":""male"",""percentage"":0.166544},{""age"":""35-44"",""gender"":""female"",""percentage"":0.046791},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000605},{""age"":""25-34"",""gender"":""male"",""percentage"":0.113022},{""age"":""25-34"",""gender"":""female"",""percentage"":0.039604},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000297},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000287}","{""region"":""Cluj County"",""percentage"":1}",facebook,"lower_bound: 100001, upper_bound: 500000",ro
1324022541930513,101254968456255,"Călin Gheorghe Matieș - Candidat AUR C.Deputaților",2024-11-22,2024-11-22,,"I AM ONLINE SRL","Primarii din Baia de Arieș, domnul @[100092577071303:2048:Dup Marius], din Valea Lungă, domnul @[100011528565625:2048:Dan Aldea], și din Bucerdea Grânoasă, domnul @[100073670889411:2048:Vasile Sevestrean], îl susțin pe @[100044563410651:2048:George Simion] la alegerile prezidențiale din 24 noiembrie. 🇷🇴

Pe 24 noiembrie, votați George Simion Președinte pentru o Românie cinstită și unită!

Cod Mandatar Financiar Coordonator: 11240014",,,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 200, upper_bound: 299",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.007647},{""age"":""45-54"",""gender"":""male"",""percentage"":0.174611},{""age"":""65+"",""gender"":""male"",""percentage"":0.07295},{""age"":""65+"",""gender"":""female"",""percentage"":0.090542},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000375},{""age"":""55-64"",""gender"":""male"",""percentage"":0.12629},{""age"":""55-64"",""gender"":""female"",""percentage"":0.100676},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000469},{""age"":""45-54"",""gender"":""female"",""percentage"":0.071402},{""age"":""18-24"",""gender"":""male"",""percentage"":0.0266},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000751},{""age"":""35-44"",""gender"":""male"",""percentage"":0.161522},{""age"":""35-44"",""gender"":""female"",""percentage"":0.041237},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000235},{""age"":""25-34"",""gender"":""male"",""percentage"":0.105038},{""age"":""25-34"",""gender"":""female"",""percentage"":0.019281},{""age"":""18-24"",""gender"":""unknown"",""percentage"":9.4e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000281}","{""region"":""Alba County"",""percentage"":1}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",ro
1074079691186801,641274583169945,"Ilie-Vasile Sîrbu",2024-11-21,2024-11-21,,"UNIWORLD - MEDIA SRL","Timișoara are nevoie de o bază olimpică de canotaj și caiac-canoe pentru a susține performanța sportivă. Votați AUR în Parlamentul României și pe George Simion președinte pentru dezvoltarea acestui proiect!",,,,"lower_bound: 4000, upper_bound: 4999","lower_bound: 100, upper_bound: 199",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.004689},{""age"":""45-54"",""gender"":""female"",""percentage"":0.04689},{""age"":""65+"",""gender"":""male"",""percentage"":0.107848},{""age"":""65+"",""gender"":""female"",""percentage"":0.075765},{""age"":""55-64"",""gender"":""male"",""percentage"":0.159427},{""age"":""55-64"",""gender"":""female"",""percentage"":0.073791},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000987},{""age"":""45-54"",""gender"":""male"",""percentage"":0.200148},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00074},{""age"":""18-24"",""gender"":""male"",""percentage"":0.01999},{""age"":""35-44"",""gender"":""male"",""percentage"":0.172754},{""age"":""35-44"",""gender"":""female"",""percentage"":0.034304},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000247},{""age"":""25-34"",""gender"":""male"",""percentage"":0.087611},{""age"":""25-34"",""gender"":""female"",""percentage"":0.013574},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00074},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000494}","{""region"":""Timi\u0219 County"",""percentage"":1}",facebook,"lower_bound: 100001, upper_bound: 500000",ro
606566962031157,117699898246474,"Centrul Roman de Politici Europene - CRPE",2024-11-21,2024-11-21,,"Centrul Roman de Politici Europene - CRPE","Am pregătit o scurtă prezentare a candidaților la prezidențiale pentru votanții români din Republica Moldova 🇹🇩🇲🇩. Ne vedem la vot, secțiile de vot din diasporă se deschid vineri la ora 12 00 și se poate vota inclusiv până duminica la ora 21 00. 

În Republica Moldova sunt deschise 59 de secții de votare.

Pentru o prezentare în detaliu vă rugăm accesați:  https://cpr.md/2024/11/19/o-scurta-prezentare-a-candidatilor-pentru-votantii-romani-din-republica-moldova/",,,,"lower_bound: 3000, upper_bound: 3999","lower_bound: 0, upper_bound: 99",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.10882},{""age"":""18-24"",""gender"":""male"",""percentage"":0.198931},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000382},{""age"":""25-34"",""gender"":""female"",""percentage"":0.124475},{""age"":""25-34"",""gender"":""male"",""percentage"":0.272623},{""age"":""35-44"",""gender"":""female"",""percentage"":0.045819},{""age"":""35-44"",""gender"":""male"",""percentage"":0.086674},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000764},{""age"":""45-54"",""gender"":""female"",""percentage"":0.024819},{""age"":""45-54"",""gender"":""male"",""percentage"":0.036655},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000382},{""age"":""55-64"",""gender"":""female"",""percentage"":0.034746},{""age"":""55-64"",""gender"":""male"",""percentage"":0.026346},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000382},{""age"":""65+"",""gender"":""female"",""percentage"":0.022146},{""age"":""65+"",""gender"":""male"",""percentage"":0.016037}","{""region"":""Alba County"",""percentage"":0.016129},{""region"":""Prahova County"",""percentage"":0.031874},{""region"":""Ia\u0219i County"",""percentage"":0.076037},{""region"":""Ilfov County"",""percentage"":0.011905},{""region"":""Maramure\u0219 County"",""percentage"":0.009601},{""region"":""Mehedin\u021bi County"",""percentage"":0.006912},{""region"":""Mure\u0219 County"",""percentage"":0.023041},{""region"":""Neam\u021b County"",""percentage"":0.017281},{""region"":""Olt County"",""percentage"":0.008449},{""region"":""Satu Mare County"",""percentage"":0.013825},{""region"":""Hunedoara County"",""percentage"":0.014593},{""region"":""Sibiu County"",""percentage"":0.026882},{""region"":""Suceava County"",""percentage"":0.034178},{""region"":""S\u0103laj County"",""percentage"":0.008065},{""region"":""Teleorman County"",""percentage"":0.003456},{""region"":""Timi\u0219 County"",""percentage"":0.062596},{""region"":""Tulcea County"",""percentage"":0.004608},{""region"":""Vaslui County"",""percentage"":0.008449},{""region"":""Vrancea County"",""percentage"":0.009985},{""region"":""Ialomi\u021ba County"",""percentage"":0.006912},{""region"":""Harghita County"",""percentage"":0.010369},{""region"":""Arad County"",""percentage"":0.022657},{""region"":""Buz\u0103u County"",""percentage"":0.019969},{""region"":""Arge\u0219 County"",""percentage"":0.024194},{""region"":""Bac\u0103u County"",""percentage"":0.020737},{""region"":""Bihor County"",""percentage"":0.029954},{""region"":""Bistri\u021ba-N\u0103s\u0103ud County"",""percentage"":0.008833},{""region"":""Boto\u0219ani County"",""percentage"":0.012673},{""region"":""Bra\u0219ov County"",""percentage"":0.032642},{""region"":""Br\u0103ila County"",""percentage"":0.013825},{""region"":""Bucharest"",""percentage"":0.195853},{""region"":""Cara\u0219-Severin County"",""percentage"":0.013441},{""region"":""Gorj County"",""percentage"":0.011137},{""region"":""Cluj County"",""percentage"":0.065284},{""region"":""Constan\u021ba County"",""percentage"":0.030338},{""region"":""Covasna County"",""percentage"":0.008065},{""region"":""C\u0103l\u0103ra\u0219i County"",""percentage"":0.008449},{""region"":""Dolj County"",""percentage"":0.022657},{""region"":""D\u00e2mbovi\u021ba County"",""percentage"":0.015361},{""region"":""Gala\u021bi County"",""percentage"":0.020737},{""region"":""Giurgiu County"",""percentage"":0.00576},{""region"":""V\u00e2lcea County"",""percentage"":0.012289}",facebook,"lower_bound: 500001, upper_bound: 1000000",ro
492771710468418,163277843530611,"Moza Costel -Consilier Local Oradea",2024-11-21,2024-11-21,,"Moza Costel -Consilier Local Oradea","🇷🇴 Familie. Credință. Viitor.
📅 Pe 24 noiembrie, votează George Simion Președinte!
🙏 Dumnezeu să binecuvânteze România!
CMF 11240014

#GeorgeSimion #Romania2024 #FamilieȘiCredință 🇷🇴",,,,"lower_bound: 35000, upper_bound: 39999","lower_bound: 300, upper_bound: 399",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.008302},{""age"":""45-54"",""gender"":""male"",""percentage"":0.175019},{""age"":""65+"",""gender"":""male"",""percentage"":0.065332},{""age"":""65+"",""gender"":""female"",""percentage"":0.122971},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000373},{""age"":""55-64"",""gender"":""male"",""percentage"":0.119244},{""age"":""55-64"",""gender"":""female"",""percentage"":0.140727},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00061},{""age"":""45-54"",""gender"":""female"",""percentage"":0.106198},{""age"":""18-24"",""gender"":""male"",""percentage"":0.015282},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000745},{""age"":""35-44"",""gender"":""male"",""percentage"":0.120701},{""age"":""35-44"",""gender"":""female"",""percentage"":0.045542},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000305},{""age"":""25-34"",""gender"":""male"",""percentage"":0.057775},{""age"":""25-34"",""gender"":""female"",""percentage"":0.020264},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000169},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000441}","{""region"":""Bihor County"",""percentage"":1}",facebook,"lower_bound: 100001, upper_bound: 500000",ro
2631054730430413,1876727935882404,"Bogdan Bola",2024-11-21,2024-11-21,,"Digidev Innotech","Principiile candidaților @[100075801915420:2048:Forța Dreptei Constanța] constau în garantarea libertății cetățenilor, egalitatea în fața legii, un stat cu o birocrație redusă, piață liberă (cu intervenții minime din partea statului), apărarea și promovarea identității naționale și a tradițiilor, susținerea instituțiilor fundamentale ale societății: familia, biserica, satul românesc, școala.

Noi suntem cei care, pe 24 noiembrie, vom ""sparge"" blatul dintre Ciolacu și Simion și nu vom lăsa România pe mâna lor. Votați Elena Lasconi pentru președinte - singurul candidat de dreapta cu șanse reale să intre în turul 2 - și pe candidații @[100044295496241:2048:Forța Dreptei] pentru Parlamentul României pe 01 decembrie! CMF: 11240022",,,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 300, upper_bound: 399",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.005507},{""age"":""18-24"",""gender"":""male"",""percentage"":0.024111},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000535},{""age"":""25-34"",""gender"":""female"",""percentage"":0.016145},{""age"":""25-34"",""gender"":""male"",""percentage"":0.09869},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000374},{""age"":""35-44"",""gender"":""female"",""percentage"":0.036621},{""age"":""35-44"",""gender"":""male"",""percentage"":0.21807},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00139},{""age"":""45-54"",""gender"":""female"",""percentage"":0.076397},{""age"":""45-54"",""gender"":""male"",""percentage"":0.258701},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001176},{""age"":""55-64"",""gender"":""female"",""percentage"":0.096605},{""age"":""55-64"",""gender"":""male"",""percentage"":0.164769},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000909}","{""region"":""Br\u0103ila County"",""percentage"":0.000213},{""region"":""Constan\u021ba County"",""percentage"":0.997868},{""region"":""C\u0103l\u0103ra\u0219i County"",""percentage"":5.3e-5},{""region"":""Dobrich Province"",""percentage"":5.3e-5},{""region"":""Ialomi\u021ba County"",""percentage"":0.001652},{""region"":""Tulcea County"",""percentage"":0.00016}",facebook,"lower_bound: 100001, upper_bound: 500000",ro
533765789578462,411146385407271,"Ariadna Cîrligeanu",2024-11-21,2024-11-21,,"Partidul Alianta pentru Unirea Romanilor","Timpul României noastre a început. 🇷🇴
@[100044563410651:2048:George Simion] președinte!

CMF: 11240014",,,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 200, upper_bound: 299",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.012877},{""age"":""45-54"",""gender"":""male"",""percentage"":0.191027},{""age"":""65+"",""gender"":""male"",""percentage"":0.058686},{""age"":""65+"",""gender"":""female"",""percentage"":0.076321},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000492},{""age"":""55-64"",""gender"":""male"",""percentage"":0.120694},{""age"":""55-64"",""gender"":""female"",""percentage"":0.084236},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000287},{""age"":""45-54"",""gender"":""female"",""percentage"":0.070169},{""age"":""18-24"",""gender"":""male"",""percentage"":0.045399},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00041},{""age"":""35-44"",""gender"":""male"",""percentage"":0.165313},{""age"":""35-44"",""gender"":""female"",""percentage"":0.039616},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000164},{""age"":""25-34"",""gender"":""male"",""percentage"":0.10876},{""age"":""25-34"",""gender"":""female"",""percentage"":0.02477},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000492},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000287}","{""region"":""Boto\u0219ani County"",""percentage"":1}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",ro
579586344560267,391863520682771,"Vasiliu Ionel",2024-11-21,2024-11-21,,"SC VIDEO DANCRYS-STUDIO SRL",www.tiktok.com/@ionel.vasiliucj,"Vasiliu Ionel",facebook.com,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 300, upper_bound: 399",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.014133},{""age"":""45-54"",""gender"":""male"",""percentage"":0.126753},{""age"":""65+"",""gender"":""male"",""percentage"":0.116737},{""age"":""65+"",""gender"":""female"",""percentage"":0.132317},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000334},{""age"":""55-64"",""gender"":""male"",""percentage"":0.145448},{""age"":""55-64"",""gender"":""female"",""percentage"":0.097485},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000779},{""age"":""45-54"",""gender"":""female"",""percentage"":0.067995},{""age"":""18-24"",""gender"":""male"",""percentage"":0.023815},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000445},{""age"":""35-44"",""gender"":""male"",""percentage"":0.107278},{""age"":""35-44"",""gender"":""female"",""percentage"":0.048409},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000668},{""age"":""25-34"",""gender"":""male"",""percentage"":0.07456},{""age"":""25-34"",""gender"":""female"",""percentage"":0.041732},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000334},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000779}","{""region"":""Suceava County"",""percentage"":1}",facebook,"lower_bound: 500001, upper_bound: 1000000",
1074756370636079,397245833483182,"Virgiliu Gheorghe Vlăescu pentru Senat",2024-11-21,2024-11-21,,"SC VIDEO DANCRYS-STUDIO SRL","Biofizician, doctor în bioetică
Candidez pe lista AUR în județul Suceava pe locul I la Senat
https://www.tiktok.com/@virgiliu.gheorghe",www.fb.com,fb.com,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 300, upper_bound: 399",RON,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.010918},{""age"":""45-54"",""gender"":""male"",""percentage"":0.088419},{""age"":""65+"",""gender"":""male"",""percentage"":0.119109},{""age"":""65+"",""gender"":""female"",""percentage"":0.232791},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000635},{""age"":""55-64"",""gender"":""male"",""percentage"":0.116697},{""age"":""55-64"",""gender"":""female"",""percentage"":0.150846},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00054},{""age"":""45-54"",""gender"":""female"",""percentage"":0.065949},{""age"":""18-24"",""gender"":""male"",""percentage"":0.023454},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000571},{""age"":""35-44"",""gender"":""male"",""percentage"":0.067155},{""age"":""35-44"",""gender"":""female"",""percentage"":0.033927},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00019},{""age"":""25-34"",""gender"":""male"",""percentage"":0.061284},{""age"":""25-34"",""gender"":""female"",""percentage"":0.02631},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000317},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000889}","{""region"":""Suceava County"",""percentage"":1}",facebook,"lower_bound: 500001, upper_bound: 1000000",ro
